1,06:31,07:55,12:29,14:43,17:01,18:26
2,06:31,07:55,12:30,14:44,17:02,18:27
3,06:31,07:55,12:30,14:45,17:03,18:28
4,06:31,07:55,12:31,14:46,17:04,18:29
5,06:31,07:55,12:31,14:47,17:05,18:30
6,06:31,07:55,12:32,14:48,17:06,18:31
7,06:31,07:55,12:32,14:48,17:07,18:32
8,06:31,07:55,12:32,14:49,17:08,18:32
9,06:31,07:55,12:33,14:50,17:09,18:33
10,06:31,07:55,12:33,14:51,17:10,18:34
11,06:31,07:54,12:34,14:52,17:11,18:35
12,06:31,07:54,12:34,14:53,17:12,18:36
13,06:30,07:54,12:35,14:54,17:13,18:37
14,06:30,07:53,12:35,14:55,17:14,18:38
15,06:30,07:53,12:35,14:56,17:15,18:39
16,06:29,07:52,12:36,14:57,17:17,18:40
17,06:29,07:52,12:36,14:58,17:18,18:41
18,06:29,07:51,12:36,15:00,17:19,18:43
19,06:28,07:51,12:37,15:01,17:20,18:44
20,06:28,07:50,12:37,15:02,17:22,18:45
21,06:27,07:49,12:37,15:03,17:23,18:46
22,06:27,07:49,12:38,15:04,17:24,18:47
23,06:26,07:48,12:38,15:05,17:25,18:48
24,06:26,07:47,12:38,15:06,17:27,18:49
25,06:25,07:47,12:38,15:07,17:28,18:50
26,06:24,07:46,12:39,15:08,17:29,18:51
27,06:24,07:45,12:39,15:09,17:31,18:53
28,06:23,07:44,12:39,15:11,17:32,18:54
29,06:22,07:43,12:39,15:12,17:33,18:55
30,06:21,07:42,12:39,15:13,17:34,18:56
31,06:20,07:41,12:39,15:14,17:36,18:57
32,06:20,07:40,12:40,15:15,17:37,18:58
33,06:19,07:39,12:40,15:16,17:38,19:00
34,06:18,07:38,12:40,15:17,17:40,19:01
35,06:17,07:37,12:40,15:18,17:41,19:02
36,06:16,07:36,12:40,15:19,17:43,19:03
37,06:15,07:35,12:40,15:21,17:44,19:04
38,06:14,07:33,12:40,15:22,17:45,19:06
39,06:13,07:32,12:40,15:23,17:47,19:07
40,06:11,07:31,12:40,15:24,17:48,19:08
41,06:10,07:30,12:40,15:25,17:49,19:09
42,06:09,07:28,12:40,15:26,17:51,19:10
43,06:08,07:27,12:40,15:27,17:52,19:12
44,06:07,07:26,12:40,15:28,17:53,19:13
45,06:06,07:24,12:40,15:29,17:55,19:14
46,06:04,07:23,12:40,15:30,17:56,19:15
47,06:03,07:22,12:40,15:31,17:57,19:16
48,06:02,07:20,12:40,15:32,17:59,19:18
49,06:00,07:19,12:40,15:33,18:00,19:19
50,05:59,07:17,12:40,15:34,18:01,19:20
51,05:58,07:16,12:40,15:35,18:02,19:21
52,05:56,07:14,12:40,15:36,18:04,19:22
53,05:55,07:13,12:40,15:37,18:05,19:24
54,05:53,07:11,12:40,15:38,18:06,19:25
55,05:52,07:10,12:40,15:39,18:08,19:26
56,05:50,07:08,12:39,15:40,18:09,19:27
57,05:49,07:07,12:39,15:41,18:10,19:28
58,05:47,07:05,12:39,15:42,18:11,19:30
59,05:46,07:03,12:39,15:42,18:13,19:31
60,05:44,07:02,12:39,15:43,18:14,19:32
61,05:42,07:00,12:39,15:44,18:15,19:33
62,05:41,06:59,12:38,15:45,18:16,19:35
63,05:39,06:57,12:38,15:46,18:18,19:36
64,05:38,06:55,12:38,15:47,18:19,19:37
65,05:36,06:54,12:38,15:48,18:20,19:38
66,05:34,06:52,12:37,15:48,18:21,19:40
67,05:33,06:50,12:37,15:49,18:23,19:41
68,05:31,06:48,12:37,15:50,18:24,19:42
69,06:29,07:47,13:37,16:51,19:25,20:43
70,06:27,07:45,13:36,16:51,19:26,20:44
71,06:26,07:43,13:36,16:52,19:28,20:46
72,06:24,07:42,13:36,16:53,19:29,20:47
73,06:22,07:40,13:36,16:54,19:30,20:48
74,06:20,07:38,13:35,16:54,19:31,20:49
75,06:18,07:36,13:35,16:55,19:32,20:51
76,06:17,07:35,13:35,16:56,19:34,20:52
77,06:15,07:33,13:35,16:56,19:35,20:53
78,06:13,07:31,13:34,16:57,19:36,20:55
79,06:11,07:29,13:34,16:58,19:37,20:56
80,06:09,07:28,13:34,16:58,19:38,20:57
81,06:07,07:26,13:33,16:59,19:39,20:58
82,06:05,07:24,13:33,16:59,19:41,21:00
83,06:03,07:22,13:33,17:00,19:42,21:01
84,06:02,07:21,13:33,17:01,19:43,21:02
85,06:00,07:19,13:32,17:01,19:44,21:04
86,05:58,07:17,13:32,17:02,19:45,21:05
87,05:56,07:15,13:32,17:02,19:47,21:06
88,05:54,07:13,13:31,17:03,19:48,21:08
89,05:52,07:12,13:31,17:03,19:49,21:09
90,05:50,07:10,13:31,17:04,19:50,21:10
91,05:48,07:08,13:30,17:04,19:51,21:12
92,05:46,07:06,13:30,17:05,19:52,21:13
93,05:44,07:05,13:30,17:05,19:54,21:14
94,05:42,07:03,13:30,17:06,19:55,21:16
95,05:40,07:01,13:29,17:06,19:56,21:17
96,05:38,06:59,13:29,17:07,19:57,21:18
97,05:36,06:58,13:29,17:07,19:58,21:20
98,05:34,06:56,13:28,17:08,19:59,21:21
99,05:32,06:54,13:28,17:08,20:01,21:23
100,05:30,06:53,13:28,17:09,20:02,21:24
101,05:28,06:51,13:28,17:09,20:03,21:26
102,05:26,06:49,13:27,17:10,20:04,21:27
103,05:24,06:48,13:27,17:10,20:05,21:28
104,05:22,06:46,13:27,17:11,20:06,21:30
105,05:20,06:44,13:27,17:11,20:07,21:31
106,05:18,06:43,13:26,17:11,20:09,21:33
107,05:16,06:41,13:26,17:12,20:10,21:34
108,05:15,06:39,13:26,17:12,20:11,21:36
109,05:13,06:38,13:26,17:13,20:12,21:37
110,05:11,06:36,13:25,17:13,20:13,21:39
111,05:09,06:34,13:25,17:13,20:14,21:40
112,05:07,06:33,13:25,17:14,20:16,21:42
113,05:05,06:31,13:25,17:14,20:17,21:43
114,05:03,06:30,13:25,17:15,20:18,21:45
115,05:01,06:28,13:24,17:15,20:19,21:46
116,04:59,06:27,13:24,17:15,20:20,21:48
117,04:57,06:25,13:24,17:16,20:21,21:49
118,04:55,06:24,13:24,17:16,20:23,21:51
119,04:54,06:22,13:24,17:16,20:24,21:53
120,04:52,06:21,13:24,17:17,20:25,21:54
121,04:50,06:19,13:23,17:17,20:26,21:56
122,04:48,06:18,13:23,17:17,20:27,21:56
123,04:46,06:17,13:23,17:18,20:28,21:58
124,04:44,06:15,13:23,17:18,20:29,21:58
125,04:43,06:14,13:23,17:18,20:31,22:00
126,04:41,06:13,13:23,17:19,20:32,22:01
127,04:39,06:11,13:23,17:19,20:33,22:02
128,04:37,06:10,13:23,17:20,20:34,22:03
129,04:36,06:09,13:23,17:20,20:35,22:04
130,04:34,06:08,13:23,17:20,20:36,22:05
131,04:32,06:06,13:23,17:21,20:37,22:06
132,04:31,06:05,13:23,17:21,20:38,22:07
133,04:29,06:04,13:23,17:21,20:40,22:08
